age,food_item,meal_category,review
15,Pork Ribs,Indian Curry,The food was decent
29,Oats Upma,Indian Curry,I enjoyed it
21,Kung Pao Chicken,Cheesy,but the food was just average.
44,Fish Fry,Dessert,making it a good value.
46,Tandoori Chicken,Seafood,I loved the combination of flavors; it was a delightful surprise.
42,Prawn Biryani,Snacks,and the taste lived up to expectations.
10,Kheer,Seafood,making it a memorable dish.
29,Malabar Fish Curry,Cheesy,and I appreciated the creativity behind it.
26,Crab Masala,Chinese,It was okay
49,Malabar Fish Curry,Cheesy,The meal was packed with flavor; I can't wait to have it again!
46,Vegan Pulao,Indian Curry,making it a memorable dish.
54,Palak Chaat,Healthy,The dish was well-prepared and the flavors were spot on!
19,Palak Paneer,Vegan,I found it to be too oily for my liking.
58,Spicy Prawn Curry,Cheesy,and every bite was a joy!
40,Salad,Healthy,It was quite disappointing; I expected a lot more flavor.
20,Gulab Jamun,Chinese,I was left wanting more; it felt incomplete.
48,Spring Rolls,Snacks,but I think it could use a bit more spice.
32,Spicy Prawn Curry,Street Food,though not memorable.
62,Chaat,Chinese,The consistency was a bit strange; not what I expected.
50,Jalebi,Street Food,and the taste did not disappoint.
62,Chicken Vindaloo,Chinese,but I feel there are better options available.
23,Tandoori Cauliflower,Healthy,and I appreciated the creativity behind it.
14,Sweet and Sour Chicken,Dessert,and the taste did not disappoint.
13,Prawn Masala,Street Food,I loved the combination of flavors; it was a delightful surprise.
49,Paneer Butter Masala,Indian Curry,a satisfying meal that I would recommend.
27,Dal Tadka,Seafood,but I wouldn't order it again.
64,Mutton Rogan Josh,Dessert,The meal had great potential but ultimately fell short.
11,Kheer,Cheesy,I was thrilled with how flavorful it was; a real treat!
14,Kung Pao Chicken,Seafood,The meal was satisfying
22,Chana Masala,Spicy,making it a memorable dish.
64,Chaat,Spicy,It was fine
20,Mutton Rogan Josh,Spicy,Overall
50,Goan Prawn Curry,Indian Curry,Absolutely loved the spices used; it was a delightful experience!
69,Pork Ribs,Dessert,and every bite was a joy!
32,Dahi Puri,Snacks,a satisfying meal that I would recommend.
27,Goan Prawn Curry,Cheesy,The meal was packed with flavor; I can't wait to have it again!
39,Pani Puri,Indian Curry,The flavors were unique
26,Samosa,Vegan,The aroma was inviting
43,Chili Chicken,Seafood,but I think it could use a bit more spice.
19,Palak Paneer,Street Food,I enjoyed it
49,Dhokla,Cheesy,but I think it could use a bit more spice.
55,Crab Masala,Chinese,The overall experience was pleasant
63,Goan Prawn Curry,Chinese,but I think it could use a bit more spice.
23,Sprouted Moong Salad,Dessert,The aroma was inviting
38,Murukku,Snacks,and I appreciated the creativity behind it.
44,Pani Puri,Healthy,making it a memorable dish.
63,Pakoras,Cheesy,I was left wanting more; it felt incomplete.
44,Vegan Pulao,Chinese,The meal was satisfying
67,Fried Rice,Indian Curry,Absolutely loved the spices used; it was a delightful experience!
11,Fish Curry,Vegan,but I feel there are better options available.
15,Dal Tadka,Dessert,The aroma was inviting
37,Mixed Vegetable Stir Fry,Chinese,It was fine
