"age","food_item","meal_category","region"
"48","Murukku","Street Food","Rajasthan"
"15","Samosa","Indian Curry","Delhi"
"38","Spring Rolls","Vegan","Gujarat"
"62","Kachori","Chinese","Kerala"
"54","Vegan Pulao","Dessert","Delhi"
"64","Butter Chicken","Dessert","Punjab"
"26","Mutton Rogan Josh","Snacks","Tamil Nadu"
"36","Hot and Sour Soup","Street Food","Tamil Nadu"
"31","Goan Prawn Curry","Vegan","Karnataka"
"14","Oats Upma","Seafood","Tamil Nadu"
"59","Butter Chicken","Indian Curry","Tamil Nadu"
"57","Peda","Vegan","Punjab"
"27","Tikki","Snacks","Gujarat"
"24","Chicken Curry","Street Food","Punjab"
"37","Rabri","Vegan","Punjab"
"27","Vada Pav","Cheesy","Karnataka"
"66","Salad","Healthy","Kerala"
"59","Chaat","Snacks","Rajasthan"
"18","Murukku","Dessert","Rajasthan"
"32","Kheer","Vegan","Maharashtra"
"10","Dahi Puri","Vegan","Tamil Nadu"
"38","Vegetable Biryani","Indian Curry","Delhi"
"47","Cheese Stuffed Mushroom","Chinese","Delhi"
"27","Dahi Puri","Seafood","Maharashtra"
"37","Aloo Tikki","Dessert","Rajasthan"
"43","Spicy Prawn Curry","Indian Curry","Delhi"
"46","Pav Bhaji","Snacks","Delhi"
"57","Aloo Tikki","Seafood","Uttar Pradesh"
"38","Tandoori Chicken","Indian Curry","Gujarat"
"55","Paneer Tikka","Seafood","Karnataka"
"66","Dahi Puri","Dessert","Gujarat"
"11","Aloo Tikki","Cheesy","Punjab"
"70","Sprouted Moong Salad","Indian Curry","Punjab"
"51","Barfi","Chinese","Kerala"
"30","Vegetable Biryani","Healthy","Maharashtra"
"47","Vegetable Biryani","Cheesy","Kerala"
"64","Pani Puri","Snacks","Maharashtra"
"25","Murukku","Cheesy","Uttar Pradesh"
"20","Pav Bhaji","Seafood","Delhi"
"39","Pani Puri","Cheesy","Kerala"
"33","Pakoras","Seafood","Gujarat"
"20","Vegetable Chow Mein","Vegan","Karnataka"
"48","Sweet and Sour Chicken","Dessert","Maharashtra"
"10","Cheesy Veggie Wrap","Spicy","Delhi"
"54","Oats Upma","Spicy","Uttar Pradesh"
"38","Paneer Butter Masala","Indian Curry","Karnataka"
"36","Dal Makhani","Street Food","Delhi"
"47","Cheese Dosa","Dessert","Maharashtra"
"32","Chaat","Street Food","Uttar Pradesh"
"69","Salad","Healthy","Tamil Nadu"
"33","Stuffed Capsicum","Healthy","Kerala"
"41","Rajma","Healthy","Punjab"
"70","Hakka Noodles","Street Food","Tamil Nadu"
"13","Tandoori Cauliflower","Street Food","Gujarat"
"55","Chicken Vindaloo","Cheesy","Punjab"
"34","Grilled Paneer","Indian Curry","Kerala"
"15","Fish Fry","Cheesy","Rajasthan"
"68","Fish Tikka","Spicy","Delhi"
"64","Fish Curry","Healthy","Delhi"
"13","Aloo Gobi","Cheesy","Maharashtra"
"63","Stuffed Capsicum","Vegan","Punjab"
"32","Spicy Szechuan Noodles","Seafood","Rajasthan"
"54","Mixed Vegetable Stir Fry","Spicy","Punjab"
"60","Kuchcha Aam Ki Barfi","Vegan","Kerala"
"49","Rajma Chawal","Spicy","Maharashtra"
"24","Oats Upma","Chinese","Tamil Nadu"
"41","Fish Tikka","Spicy","Gujarat"
"59","Cheese Stuffed Mushroom","Indian Curry","Delhi"
"22","Paneer Butter Masala","Spicy","Kerala"
"66","Mixed Vegetable Stir Fry","Cheesy","Uttar Pradesh"
"10","Cheesy Garlic Bread","Healthy","West Bengal"
"22","Chana Masala","Chinese","West Bengal"
"33","Dal Tadka","Snacks","Maharashtra"
"44","Kachori","Snacks","Tamil Nadu"
"24","Cheese Stuffed Mushroom","Indian Curry","Delhi"
"47","Kachori","Seafood","Punjab"
"49","Vada Pav","Chinese","West Bengal"
"64","Cheese Samosa","Indian Curry","Uttar Pradesh"
"62","Kung Pao Chicken","Street Food","Tamil Nadu"
"49","Vegetable Soup","Seafood","Uttar Pradesh"
"26","Cheesy Pasta","Indian Curry","Maharashtra"
"18","Chicken Curry","Indian Curry","Kerala"
"38","Cheesy Veggie Wrap","Snacks","West Bengal"
"13","Tandoori Cauliflower","Seafood","Delhi"
"24","Spring Rolls","Street Food","Karnataka"
"11","Pakoras","Spicy","Gujarat"
"67","Gulab Jamun","Vegan","Tamil Nadu"
"55","Spicy Prawn Curry","Cheesy","Karnataka"
"60","Dal Makhani","Spicy","Tamil Nadu"
"33","Prawn Biryani","Indian Curry","Tamil Nadu"
"35","Masala Dosa","Chinese","Karnataka"
"57","Chicken Curry","Dessert","Rajasthan"
"55","Prawn Masala","Cheesy","Kerala"
"67","Jalebi","Chinese","Karnataka"
"29","Murukku","Cheesy","West Bengal"
"49","Ghar Ka Khana","Street Food","Gujarat"
"28","Fish Curry","Spicy","Uttar Pradesh"
"58","Kachori","Indian Curry","Uttar Pradesh"
"29","Tandoori Fish","Indian Curry","Karnataka"
"26","Rajma Chawal","Chinese","Maharashtra"
"59","Cheesy Veggie Wrap","Seafood","Maharashtra"
"28","Paneer Tikka Masala","Street Food","Tamil Nadu"
"62","Kachori","Cheesy","Gujarat"
"40","Cheesy Garlic Bread","Cheesy","Kerala"
"11","Mac and Cheese","Seafood","Gujarat"
"16","Chili Chicken","Street Food","Gujarat"
"18","Aloo Tikki Chaat","Healthy","Maharashtra"
"28","Baingan Bharta","Snacks","Maharashtra"
"27","Fried Rice","Healthy","Tamil Nadu"
"43","Vegetable Soup","Snacks","Karnataka"
"39","Barfi","Seafood","Delhi"
"39","Vegetable Biryani","Dessert","Punjab"
"40","Chaat","Healthy","Tamil Nadu"
"46","Ghar Ka Khana","Vegan","Maharashtra"
"15","Hakka Noodles","Indian Curry","Rajasthan"
"33","Ladoo","Chinese","Maharashtra"
"10","Malabar Fish Curry","Cheesy","Uttar Pradesh"
"13","Vada Pav","Cheesy","Punjab"
"29","Chana Masala","Seafood","Uttar Pradesh"
"48","Tandoori Chicken","Indian Curry","Gujarat"
"34","Chili Chicken","Spicy","Maharashtra"
"63","Hot and Sour Soup","Healthy","Kerala"
"32","Chana Masala","Indian Curry","Karnataka"
"39","Baingan Bharta","Chinese","Uttar Pradesh"
"65","Kachori","Spicy","Delhi"
"11","Murukku","Cheesy","West Bengal"
"16","Mutton Rogan Josh","Seafood","Punjab"
"30","Sprouted Moong Salad","Spicy","Karnataka"
"54","Bombil Fry","Healthy","Maharashtra"
"40","Cheesy Pasta","Chinese","West Bengal"
"12","Cheesy Garlic Bread","Indian Curry","Delhi"
"38","Chicken Curry","Vegan","Kerala"
"49","Cheesy Garlic Bread","Chinese","Maharashtra"
"28","Rasgulla","Healthy","Punjab"
"30","Chaat","Snacks","Gujarat"
"28","Oats Upma","Vegan","Tamil Nadu"
"38","Chicken Vindaloo","Chinese","Punjab"
"23","Pani Puri","Chinese","Uttar Pradesh"
"32","Zucchini Noodles","Chinese","Karnataka"
"17","Rabri","Street Food","Kerala"
"57","Salad","Indian Curry","Karnataka"
"29","Fish Fry","Dessert","Uttar Pradesh"
"17","Goan Prawn Curry","Vegan","Karnataka"
"43","Rabri","Vegan","Tamil Nadu"
"25","Cheesy Garlic Bread","Seafood","West Bengal"
"67","Mac and Cheese","Dessert","Punjab"
"48","Murukku","Dessert","West Bengal"
"37","Fish Curry","Dessert","Tamil Nadu"
"46","Aloo Gobi","Spicy","Delhi"
"53","Mutton Rogan Josh","Vegan","Tamil Nadu"
"37","Vada Pav","Vegan","West Bengal"
"36","Aloo Tikki Chaat","Street Food","Kerala"
"51","Mutton Rogan Josh","Spicy","Uttar Pradesh"
"56","Bhindi Masala","Cheesy","Gujarat"
"43","Pani Puri","Cheesy","Karnataka"
"35","Spring Rolls","Healthy","Rajasthan"
"26","Vegan Pulao","Chinese","Delhi"
"31","Ghar Ka Khana","Vegan","Delhi"
"22","Dal Tadka","Seafood","Gujarat"
"16","Ladoo","Snacks","Karnataka"
"54","Butter Chicken","Seafood","Kerala"
"51","Salad","Chinese","Uttar Pradesh"
"68","Paneer Tikka","Cheesy","West Bengal"
"13","Fish Curry","Street Food","Karnataka"
"61","Vegetable Soup","Dessert","Tamil Nadu"
"33","Paneer Tikka Masala","Healthy","Rajasthan"
"33","Fish Curry","Chinese","Uttar Pradesh"
"69","Palak Chaat","Indian Curry","Kerala"
"46","Dim Sum","Snacks","Gujarat"
"53","Stuffed Capsicum","Chinese","Tamil Nadu"
