"_id","age","food_item","meal_category","region","__v"
"671c18b2bf2241294354ef4c",48,"Murukku","Street Food","Rajasthan",0
"671c18b2bf2241294354ef4d",15,"Samosa","Indian Curry","Delhi",0
"671c18b2bf2241294354ef4e",38,"Spring Rolls","Vegan","Gujarat",0
"671c18b2bf2241294354ef4f",62,"Kachori","Chinese","Kerala",0
"671c18b2bf2241294354ef50",54,"Vegan Pulao","Dessert","Delhi",0
"671c18b2bf2241294354ef51",64,"Butter Chicken","Dessert","Punjab",0
"671c18b2bf2241294354ef52",26,"Mutton Rogan Josh","Snacks","Tamil Nadu",0
"671c18b2bf2241294354ef53",36,"Hot and Sour Soup","Street Food","Tamil Nadu",0
"671c18b2bf2241294354ef54",31,"Goan Prawn Curry","Vegan","Karnataka",0
"671c18b2bf2241294354ef55",14,"Oats Upma","Seafood","Tamil Nadu",0
"671c18b2bf2241294354ef56",59,"Butter Chicken","Indian Curry","Tamil Nadu",0
"671c18b2bf2241294354ef57",57,"Peda","Vegan","Punjab",0
"671c18b2bf2241294354ef58",27,"Tikki","Snacks","Gujarat",0
"671c18b2bf2241294354ef59",24,"Chicken Curry","Street Food","Punjab",0
"671c18b2bf2241294354ef5a",37,"Rabri","Vegan","Punjab",0
"671c18b2bf2241294354ef5b",27,"Vada Pav","Cheesy","Karnataka",0
"671c18b2bf2241294354ef5c",66,"Salad","Healthy","Kerala",0
"671c18b2bf2241294354ef5d",59,"Chaat","Snacks","Rajasthan",0
"671c18b2bf2241294354ef5e",18,"Murukku","Dessert","Rajasthan",0
"671c18b2bf2241294354ef5f",32,"Kheer","Vegan","Maharashtra",0
"671c18b2bf2241294354ef60",10,"Dahi Puri","Vegan","Tamil Nadu",0
"671c18b2bf2241294354ef61",38,"Vegetable Biryani","Indian Curry","Delhi",0
"671c18b2bf2241294354ef62",47,"Cheese Stuffed Mushroom","Chinese","Delhi",0
"671c18b2bf2241294354ef63",27,"Dahi Puri","Seafood","Maharashtra",0
"671c18b2bf2241294354ef64",37,"Aloo Tikki","Dessert","Rajasthan",0
"671c18b2bf2241294354ef65",43,"Spicy Prawn Curry","Indian Curry","Delhi",0
"671c18b2bf2241294354ef66",46,"Pav Bhaji","Snacks","Delhi",0
"671c18b2bf2241294354ef67",57,"Aloo Tikki","Seafood","Uttar Pradesh",0
"671c18b2bf2241294354ef68",38,"Tandoori Chicken","Indian Curry","Gujarat",0
"671c18b2bf2241294354ef69",55,"Paneer Tikka","Seafood","Karnataka",0
"671c18b2bf2241294354ef6a",66,"Dahi Puri","Dessert","Gujarat",0
"671c18b2bf2241294354ef6b",11,"Aloo Tikki","Cheesy","Punjab",0
"671c18b2bf2241294354ef6c",70,"Sprouted Moong Salad","Indian Curry","Punjab",0
"671c18b2bf2241294354ef6d",51,"Barfi","Chinese","Kerala",0
"671c18b2bf2241294354ef6e",30,"Vegetable Biryani","Healthy","Maharashtra",0
"671c18b2bf2241294354ef6f",47,"Vegetable Biryani","Cheesy","Kerala",0
"671c18b2bf2241294354ef70",64,"Pani Puri","Snacks","Maharashtra",0
"671c18b2bf2241294354ef71",25,"Murukku","Cheesy","Uttar Pradesh",0
"671c18b2bf2241294354ef72",20,"Pav Bhaji","Seafood","Delhi",0
"671c18b2bf2241294354ef73",39,"Pani Puri","Cheesy","Kerala",0
"671c18b2bf2241294354ef74",33,"Pakoras","Seafood","Gujarat",0
"671c18b2bf2241294354ef75",20,"Vegetable Chow Mein","Vegan","Karnataka",0
"671c18b2bf2241294354ef76",48,"Sweet and Sour Chicken","Dessert","Maharashtra",0
"671c18b2bf2241294354ef77",10,"Cheesy Veggie Wrap","Spicy","Delhi",0
"671c18b2bf2241294354ef78",54,"Oats Upma","Spicy","Uttar Pradesh",0
"671c18b2bf2241294354ef79",38,"Paneer Butter Masala","Indian Curry","Karnataka",0
"671c18b2bf2241294354ef7a",36,"Dal Makhani","Street Food","Delhi",0
